2006;"	6.000"
12002;"	4.685"
22002;"	13.181"
32003;"	22.252"
42003;"	6.284"
52003;"	15.587"
62002;"	2.769"
72001;"	11.734"
82002;"	14.241"
92003;"	22.066"
103664;"	0.865"
112003;"	10.193"
122004;"	20.672"
132002;"	29.141"
142002;"	5.079"
152002;"	15.987"
162002;"	25.209"
172002;"	7.094"
182003;"	17.617"
192002;"	26.687"
202002;"	7.657"
212001;"	17.193"
222002;"	27.485"
234246;"	1.574"
242002;"	9.481"
252345;"	20.778"
262002;"	2.919"
272002;"	12.750"
282002;"	23.550"
292003;"	2.781"
302001;"	15.160"
312003;"	2.978"
322002;"	16.719"
332003;"	6.124"
342002;"	17.622"
352002;"	20.108"
362003;"	22.116"
372001;"	23.933"
382001;"	26.037"
392002;"	28.619"
402001;"	31.296"
412001;"	33.756"
422001;"	36.433"
432001;"	39.397"
442001;"	42.649"
452002;"	45.900"
462001;"	48.864"
472001;"	51.924"
482001;"	54.983"
492001;"	58.330"
502001;"	61.390"
513353;"	7.348"
522001;"	10.204"
532001;"	13.153"
542001;"	16.839"
552001;"	19.788"
562002;"	21.999"
572001;"	21.999"
582001;"	21.999"
592001;"	22.249"
602002;"	22.249"
612001;"	22.249"
622001;"	22.249"
738380;"	22.249"
738381;"	22.249"
738381;"	22.249"
738381;"	22.249"
738381;"	22.249"
738382;"	22.249"
738382;"	22.249"
738382;"	22.249"
738382;"	22.249"
738382;"	22.249"
738383;"	22.249"
742001;"	22.986"
752002;"	24.092"
769369;"	2.876"
772002;"	6.923"
782003;"	16.038"
792002;"	24.346"
802013;"	32.300"
812004;"	40.013"
822003;"	6.138"
832002;"	16.070"
842004;"	24.223"
852002;"	32.528"
862002;"	4.765"
872003;"	13.317"
882002;"	21.742"
892002;"	29.741"
902002;"	37.710"
912310;"	3.471"
922002;"	12.426"
932543;"	21.297"
942002;"	28.880"
952001;"	4.685"
962002;"	16.780"
972002;"	25.770"
982001;"	12.401"
992002;"	22.596"
1002600;"	3.732"
1012002;"	13.258"
1022002;"	22.311"
1032001;"	4.958"
1042001;"	15.588"
1052001;"	5.524"
1062002;"	16.424"
1072002;"	23.865"
1082002;"	31.991"
1097390;"	5.628"
1102002;"	9.666"
1112002;"	17.554"
1122002;"	25.609"
1132003;"	32.008"
1142002;"	39.451"
1152003;"	47.579"
1165686;"	6.929"
1172002;"	12.627"
1182001;"	19.611"
1192002;"	27.769"
1202002;"	35.792"
1212001;"	43.289"
1229106;"	8.519"
1232002;"	11.303"
1242006;"	19.162"
1252002;"	26.695"
1262002;"	33.280"
1272002;"	40.915"
1282002;"	48.488"
1292001;"	56.589"
1305629;"	9.447"
1312001;"	14.422"
1322001;"	21.518"
1332002;"	29.312"
1342002;"	37.509"
1352001;"	44.588"
1362002;"	52.730"
1372001;"	61.682"
1388273;"	11.401"
1392001;"	15.011"
1402001;"	23.389"
1412002;"	31.976"
1422001;"	40.659"
1432002;"	48.875"
1442001;"	57.462"
1452002;"	65.534"
1464833;"	10.963"
1472001;"	17.712"
1482002;"	26.162"
1492001;"	34.986"
1502002;"	43.077"
1512001;"	51.015"
1522002;"	59.143"
1534377;"	11.846"
1542002;"	18.997"
1552001;"	27.738"
1562002;"	36.608"
1572001;"	44.902"
1582002;"	53.495"
1592002;"	62.092"
1603884;"	12.365"
1612002;"	19.757"
1622001;"	28.301"
1632002;"	36.681"
1642001;"	45.226"
1652002;"	54.316"
1667616;"	12.746"
1672001;"	17.001"
1682027;"	24.903"
1692002;"	33.057"
1702002;"	41.182"
1712001;"	50.542"
1722002;"	59.320"
1732001;"	68.048"
1744582;"	13.635"
1752002;"	20.528"
1762002;"	29.058"
1772002;"	37.838"
1782001;"	47.994"
1794239;"	13.801"
1802001;"	21.651"
1812002;"	31.635"
1822002;"	41.442"
1835915;"	13.620"
1842002;"	19.461"
1852002;"	28.217"
1862002;"	35.880"
1872001;"	44.456"
1882002;"	54.110"
1895488;"	14.259"
1902001;"	22.329"
1912001;"	31.553"
1922002;"	39.597"
1932001;"	47.614"
1942002;"	55.505"
1958291;"	14.745"
1962001;"	18.292"
1972001;"	27.310"
1982002;"	35.765"
1992002;"	44.211"
2002018;"	52.561"
2012002;"	60.643"
2030495;"	14.832"
2032001;"	16.864"
2042001;"	25.457"
2052004;"	34.012"
2062001;"	42.764"
2072001;"	51.319"
2082002;"	59.466"
2095710;"	15.302"
2102001;"	21.785"
2112001;"	32.389"
2122002;"	39.951"
2132002;"	48.006"
2142002;"	56.770"
2156041;"	16.500"
2162001;"	22.413"
2172001;"	32.110"
2182002;"	39.945"
2192001;"	47.602"
2202002;"	55.515"
2212002;"	63.700"
2226394;"	16.969"
2232002;"	21.880"
2242001;"	30.455"
2252002;"	38.892"
2262001;"	49.433"
2279959;"	17.441"
2282001;"	19.639"
2292001;"	28.570"
2302002;"	38.583"
2317597;"	17.269"
2322002;"	23.779"
2332001;"	33.540"
2342002;"	43.627"
2352002;"	51.903"
2365671;"	18.147"
2372001;"	24.609"
2382002;"	32.557"
2392001;"	40.874"
2402003;"	50.130"
2424333;"	18.714"
2424334;"	19.842"
2432001;"	25.736"
2442002;"	33.280"
2452002;"	40.236"
2462001;"	51.136"
2488179;"	19.082"
2488180;"	19.235"
2492001;"	22.675"
2502342;"	32.752"
2512003;"	43.449"
2529702;"	18.864"
2532002;"	22.571"
2542001;"	34.997"
2554626;"	19.022"
2562002;"	28.973"
2572004;"	37.883"
2582001;"	48.038"
2595049;"	19.254"
2602002;"	26.333"
2612002;"	34.741"
2622001;"	43.904"
2632012;"	53.093"
2642002;"	61.013"
2654232;"	19.419"
2662001;"	27.999"
2672001;"	36.820"
2682001;"	45.852"
2692001;"	56.676"
2702527;"	19.802"
2712001;"	29.004"
2722001;"	37.305"
2732002;"	45.724"
2742001;"	53.879"
2752002;"	61.800"
2766640;"	21.094"
2772006;"	26.049"
2782002;"	34.276"
2792002;"	41.778"
2802001;"	50.639"
2812001;"	59.571"
2822002;"	69.019"
2834471;"	22.218"
2842009;"	31.337"
2852002;"	40.596"
2862001;"	50.749"
2876041;"	22.304"
2882001;"	29.130"
2892002;"	41.391"
2902001;"	51.802"
2915276;"	22.842"
2922001;"	30.733"
2932001;"	38.740"
2942001;"	48.634"
2952002;"	58.051"
2971094;"	24.398"
2972001;"	25.718"
2982001;"	34.637"
2992002;"	43.175"
3002001;"	52.247"
3012002;"	60.356"
3022001;"	69.099"
3032002;"	77.409"
3049863;"	24.672"
3052001;"	27.005"
3062001;"	35.743"
3072001;"	44.173"
3082002;"	52.137"
3092002;"	60.551"
3102001;"	70.850"
3115734;"	24.845"
3122001;"	30.741"
3132001;"	44.104"
3146584;"	24.963"
3152001;"	32.805"
3162001;"	45.808"
3172833;"	25.127"
3182005;"	35.603"
3192001;"	42.906"
3202011;"	50.239"
3212002;"	58.858"
3222003;"	68.025"
3236025;"	25.950"
3242001;"	32.289"
3252002;"	41.901"
3262002;"	51.582"
3272001;"	61.089"
3282002;"	70.211"
3293801;"	26.501"
3302001;"	37.139"
3312001;"	46.619"
3322001;"	55.976"
3332001;"	64.979"
3342002;"	73.814"
3356769;"	26.370"
3362001;"	31.500"
3372002;"	40.406"
3382001;"	48.448"
3392001;"	56.823"
3402002;"	65.464"
3412001;"	73.969"
3427529;"	26.577"
3432001;"	31.818"
3442001;"	42.232"
3452001;"	52.683"
3470672;"	26.452"
3472001;"	28.855"
3482001;"	37.873"
3492001;"	47.348"
3502001;"	58.099"
3512001;"	68.356"
3522001;"	78.668"
3541596;"	27.291"
3542001;"	28.444"
3552001;"	40.758"
3562001;"	52.374"
3582676;"	26.901"
3582677;"	27.173"
3592001;"	37.448"
3602002;"	47.376"
3622884;"	27.123"
3622884;"	27.140"
3632001;"	36.983"
3642288;"	44.707"
3652002;"	53.238"
3662002;"	61.891"
3685837;"	27.874"
3685837;"	28.013"
3692002;"	34.650"
3702001;"	43.442"
3712002;"	52.382"
3722001;"	60.772"
3732001;"	69.970"
3749218;"	27.564"
3752001;"	30.518"
3762001;"	39.203"
3772002;"	47.513"
3782001;"	56.418"
3792002;"	65.159"
3802003;"	73.191"
3822217;"	27.752"
3822217;"	27.835"
3832001;"	37.382"
3842014;"	45.839"
3852002;"	54.998"
3862001;"	63.562"
3872002;"	72.561"
3888371;"	27.894"
3892001;"	31.602"
3902001;"	40.620"
3912002;"	49.184"
3922001;"	58.068"
3932001;"	67.441"
3942002;"	76.569"
3953658;"	28.073"
3962002;"	36.183"
3972001;"	44.773"
3982002;"	52.815"
3992001;"	62.850"
4012996;"	28.220"
4012996;"	28.220"
4022001;"	37.581"
4032001;"	46.937"
4042001;"	57.124"
4058677;"	28.378"
4062001;"	34.545"
4072001;"	47.961"
4082001;"	55.847"
4099419;"	28.651"
4102001;"	31.207"
4112002;"	39.786"
4122001;"	48.217"
4132002;"	57.367"
4142001;"	65.515"
4152005;"	72.647"
4171603;"	28.727"
4172001;"	29.911"
4182001;"	38.875"
4192002;"	50.970"
4202001;"	60.320"
4222318;"	28.920"
4222318;"	28.952"
4232001;"	39.744"
4242142;"	52.170"
4252002;"	59.524"
4277031;"	29.003"
4277031;"	29.021"
4282001;"	34.895"
4292001;"	42.449"
4302001;"	50.867"
4312001;"	59.247"
4322003;"	66.534"
4332001;"	75.007"
4353688;"	29.114"
4353688;"	29.151"
4362001;"	36.808"
4372001;"	46.258"
4382002;"	55.446"
4392001;"	64.810"
4412128;"	28.588"
4412147;"	29.571"
4422001;"	37.797"
4432001;"	46.406"
